epoch,train_mse_log_sales,val_rmspe,val_mae
1,1.5449880175764048,0.23067851785713672,1232.929372129536
2,0.18847358476700662,0.2809826627247047,1127.4450805273061
3,0.16171359008311723,0.1853739099242959,1001.7189744733068
4,0.13580548645386212,0.17933795358868623,873.4046782150448
5,0.11533498125865993,0.17174098069205085,861.8968505546575
6,0.08872027530134478,0.1759100329191444,966.7294242889841
7,0.06757636842581165,0.15063306993500503,724.6362492563173
8,0.04835420570882501,0.17126972573941485,910.4324043360272
9,0.03709743991258401,0.15317444320048978,796.6456543907151
10,0.030382499715729858,0.1691625121703886,964.5583654970229
11,0.026814768578118413,0.15427797979598687,686.4219604479155
12,0.02477993206455046,0.14794072163413352,597.6615812781833
13,0.023294814231605093,0.1366816348845614,683.5221562387392
14,0.022327069642085126,0.1321304018363956,586.2142447400546
15,0.021516237585738552,0.13447183706426588,598.1356420744644
16,0.020537237743827423,0.12915037367229704,588.7698840900285
17,0.020143303664534783,0.12743145976314277,616.298050065563
18,0.019609746237320803,0.1307644487959587,561.5941202551845
19,0.01928269094001612,0.13092060551997506,552.649410727267
20,0.018744183962630258,0.12468668506105784,572.6765965874114
